City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,14.34,83,100,2.24,NZ,1683385425
1,arkhangel'sk,64.5401,40.5433,1.71,59,100,3.5,RU,1683385275
2,wailua homesteads,22.0669,-159.378,22.44,81,100,7.2,US,1683385426
3,puerto ayora,-0.7393,-90.3518,29.98,92,58,3.13,EC,1683385113
4,tianpeng,30.9866,103.9393,21.26,73,100,3.12,CN,1683385427
5,port elizabeth,-33.918,25.5701,20.16,87,20,12.35,ZA,1683385268
6,holualoa,19.6228,-155.9522,20.43,82,91,2.24,US,1683385428
7,kayangel,8.0823,134.7173,28.06,77,81,0.9,PW,1683385429
8,grytviken,-54.2811,-36.5092,3.8,97,100,5.9,GS,1683385429
9,invercargill,-46.4,168.35,8.34,95,16,1.34,NZ,1683385406
10,thompson,55.7435,-97.8558,8.09,66,75,1.54,CA,1683385146
11,champerico,14.3,-91.9167,32.3,65,78,2.51,GT,1683385431
12,baiti,13.745,-14.7482,40.93,11,21,2.78,SN,1683385432
13,edinburgh of the seven seas,-37.0676,-12.3116,15.66,80,99,11.03,SH,1683385432
14,calderitas,18.55,-88.25,29.06,70,75,7.72,MX,1683385433
15,broken hill,-31.95,141.4333,8.3,64,8,6.34,AU,1683385352
16,yelizovo,53.1873,158.3805,0.08,100,75,1.0,RU,1683385434
17,port lincoln,-34.7333,135.8667,13.06,55,57,4.81,AU,1683385434
18,guerrero negro,27.9769,-114.0611,15.79,68,94,7.77,MX,1683385309
19,pakxan,18.3778,103.6601,34.96,40,38,0.39,LA,1683385435
20,kodiak,57.79,-152.4072,3.42,91,100,1.9,US,1683385436
21,port mathurin,-19.6833,63.4167,26.04,76,13,7.68,MU,1683385436
22,alofi,-19.0595,-169.9187,22.94,94,100,1.03,NU,1683385437
23,qaqortoq,60.7167,-46.0333,3.84,65,10,2.36,GL,1683385437
24,avarua,-21.2078,-159.775,25.03,100,75,1.03,CK,1683385438
25,jamestown,42.097,-79.2353,17.23,52,0,0.89,US,1683385346
